FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Dalatias_licha,Dipturus_oxyrinchus,Etmopterus_spinax,Galeus_melastomus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_miraletus,Raja_polystigma,SSH_C1,SSS_C1,Scyliorhinus_canicula,Torpedo_marmorata,Torpedo_torpedo,DC,SPOM,BD
Mb_SCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004051903,3.08e-05,0.001049312,0.0,0.008461006,7.555641e-05,0.02691163,0.0,0.0,0.005869766,0.06021818,0.0,0.0,0.0,0.0,0.0,0.03789895,0.02077146,0.05031248,0.0,0.004337917,0.1074665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01573843,0.006953101,0.0223993,0.0,0.003193559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004409863,0.0,3.271235e-05,3.758696e-06,3.223115e-06,0.08493506,0.2123377,0.1274026
Mb_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001305467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008908544,0.000837625,0.002699654,0.0,0.0003849006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001854527,0.004636317,0.00278179
Mb_GRA,0.0,0.0,0.0259298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01573843,0.001382488,0.004460298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01155149,0.02887871,0.01732723
Mb_SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01415504,0.0,0.0005936575,0.0,0.0,0.0,1.934025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01518271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513926,0.001541067,0.004968929,0.0,0.0007084402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07158098,0.1789524,0.1073715
Mb_PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003252912,0.001036824,0.0,0.0001478241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003562457,0.0008906142,0.0005343686
BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008327983,0.004559814,0.0,0.0001119154,0.0,3.631791e-05,1.079377e-05,0.02992573,0.3283696,0.0,0.001885674,0.0,0.0,0.0,0.0,0.0,0.0,0.257316,0.0,0.0,0.0,0.2462491,0.1074665,0.2462257,0.01377,0.03096743,0.012828,0.3598848,0.009130965,0.0,0.0,0.1312526,0.001809433,0.005829688,0.0,0.0008311621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407814,0.5926251,0.8148596
EUP,2.464562e-05,0.0,0.0,0.0,0.001044488,6.085645e-05,0.06264337,0.0,0.03938974,0.08037747,0.01732744,0.00110792,0.0004957161,0.0,0.0,0.0,0.0,0.1493148,0.0,0.1472918,1.269368,0.927447,0.0008864502,0.04954005,0.7424268,0.0,0.07986795,0.6423142,0.0,0.3213549,0.0,0.0,0.05070491,0.0,0.01865304,0.01112278,0.6015524,0.0,0.07227726,0.070536,0.4946434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.607181e-05,0.003644303,2.507441e-05,0.03664508,0.0,0.0,9.88916e-05,0.0,0.0,0.0,0.0,0.0002241032,0.0001062139,0.0,0.0,0.32564,3.2564,2.93076
ZG,0.0,0.0,0.0,0.0,5.665853e-05,0.0,0.001577763,0.004415342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003284925,0.0,0.0,0.001076465,0.0,0.0,0.0,0.0,0.589467,0.0,0.0,0.0,0.8098143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002073859,0.1181721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595491e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.918663e-05,0.0,0.0,0.0,0.4353033,0.4353033
ZL,0.0,0.05721069,0.0,0.0,6.404878e-05,0.01947406,0.003365258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004728359,0.0,0.0,0.2986296,0.0,0.03700105,0.0001076465,0.0,0.0,1.934025e-05,0.2044249,0.5077386,0.0,0.3480371,0.2846195,0.1606774,0.0,0.0,0.0,0.08928385,2.719151,0.0,0.1402726,0.0,0.05064788,0.161292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073029,1.181471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921424e-05,0.0,0.0,0.0,0.0,5.213973e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.674572,1.168643
ZM,0.0001120256,0.02150778,0.0,0.0,0.0,0.0003042823,0.0002240327,0.8043619,0.02363385,0.0,0.0,0.0,0.0,0.008327983,0.0,0.0,0.0,0.1468063,6.622678e-05,0.03886838,0.4811799,0.0,0.001406093,0.06001279,3.027746,0.3493315,0.0798535,3.743332,0.3445016,4.981,0.0,0.0,0.017566,0.0,0.01445972,0.0,0.1099455,0.0,0.03250982,0.041268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101333,0.4145644,1.417816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248926,0.0,0.0,0.0,0.0,3.38908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.06778,7.227114
