FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,SSH_C1,SSS_C1,SSS_C2,Torpedo_marmorata,DC,SPOM,BD
TRA,0.0,0.0248759,0.0,0.00028518,0.008459366,0.46599,0.04563118,0.0,0.0,0.0,0.07993589,0.1229715,0.008069375,0.0,0.0,0.0,0.0,0.0,0.0,0.01751829,0.0,0.0,0.0007030466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03249864,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000312513,1.131518e-05,0.02050114,8.520178e-06,0.006740704,0.0,0.0,8.936423e-05,0.1818736,0.3637471,0.1818736
PAG,0.0,0.00182386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003537067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002168642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.292586e-05,0.001328867,0.0,1.211715e-05,0.0,0.0,0.0,0.007888562,0.01577712,0.007888562
DFS,0.0,0.0002666965,0.0,0.0,0.0008523414,0.009493606,0.001172597,0.0,0.0,0.0,0.0008141811,0.001121223,0.0006254858,0.0,0.0,0.0,0.0,0.0,0.0,0.07501672,0.003767628,0.0,0.03459339,0.0008413008,0.08894067,0.0,0.0,0.0,0.0,0.0,0.0,0.008325575,0.01054373,0.06922153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049524,0.0,0.004594582,2.459659e-05,0.00177971,0.0002914177,0.01239951,0.0,0.05594989,0.1118998,0.05594989
DFH,0.0001736396,0.004129494,0.0,9.760799e-05,0.0,0.0007302774,0.0005624652,0.0,0.0,0.01236577,0.0005845402,0.008715132,0.0002670977,0.0,0.0,0.0,0.0,0.1223187,0.005398551,0.1348358,0.7961536,0.05247346,0.2035778,0.07944975,0.071311,0.0,0.0,0.0,0.0,0.4820323,0.06619419,0.01660867,0.1049623,0.05657639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007109272,0.0,0.01327163,1.929169e-05,0.07535596,0.0,0.0,0.0001057052,0.5700949,1.14019,0.5700949
DSM,1.774485e-05,0.007854641,0.0,0.0,0.0008572682,0.0,0.06731945,0.0,0.0,0.0,0.02390352,0.000115923,7.95109e-05,0.0,0.0,0.0013888,0.002479811,0.0,0.001086333,0.04565766,0.1937637,0.2520565,0.02400402,0.02992904,0.0,0.0,0.0,0.0,0.0,0.0,0.02964452,0.5610843,0.1337226,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006340279,0.07671839,0.0,0.0843289,0.0002808316,0.01234072,0.01809644,0.3474103,0.6948205,0.3474103
DSP,2.240511e-06,0.007854641,0.0,1.3818e-05,0.007062609,0.004868516,0.0001811329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002514949,0.0,0.0,0.004379849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001825499,0.0,0.003717671,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006020465,2.523995e-07,0.0003512241,1.63371e-05,0.003031661,0.0,0.0,2.440533e-07,0.03326572,0.06653145,0.03326572
DSR,2.2786e-05,0.0,0.0,2.7342e-05,0.001549488,0.0001217129,0.0005624652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001619066,0.0,0.0,0.004174612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154883,0.0,0.04051229,0.001339666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915149e-05,0.002156953,0.0,0.04333217,0.0,0.0,6.530662e-05,0.07099041,0.1419808,0.07099041
MSC,0.0,0.02706539,0.0,0.002274678,0.009757585,0.03651387,0.06300563,0.2256956,0.0,0.006182883,0.02081381,3.800755e-05,0.0,0.0,0.0,0.0,0.0,0.2262119,0.0,0.031194,0.007750549,0.0,0.01015706,0.001730952,0.1894297,0.0,1.2052,0.0,0.0,0.0,0.0,0.3615678,0.0004647089,0.4984539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003797629,0.0004564199,0.07080058,1.034506e-05,0.01017324,0.03531349,0.009542543,0.0,1.38484,2.769679,1.38484
MSG,0.0,0.0,0.0,0.0,5.17317e-05,0.1715543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1856331,0.3712662,0.1856331
MSP,0.0,0.02580934,0.0,0.0,0.01015666,0.1825694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006368326,0.0,0.0,0.02183375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008325575,0.0,0.03728193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08393999,0.16788,0.08393999
ENG,0.0007258808,0.003591799,0.0,0.008696225,0.004434146,0.03310591,0.01816095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962106,0.0,0.0,0.0,0.0,0.006550123,0.002620604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050196,0.1681935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006302702,0.0,0.0,0.0,0.0,0.0,0.1944249,1.166549,0.5832746
SAR,0.0003091009,0.001286165,0.0,0.003126102,0.004434146,0.1560359,0.01006241,0.0,0.0,0.0,0.0001461351,0.001795857,0.0,0.0,0.0,0.0,0.0,0.06545959,0.0,0.0,0.0,0.0,0.006458422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074262,0.01868998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287912e-05,0.01272277,0.0,0.005364548,0.0,0.0,2.321363e-05,0.1400617,0.8403702,0.4201851
EPI,0.000216411,0.01738689,0.0,4.116e-06,0.0004434146,0.0,5.719985e-05,0.0,0.0,0.006182883,0.0002713937,2.850567e-05,0.0,0.0,0.0,0.0,0.0,0.01248272,0.0,0.0004533385,0.0,0.0,0.01503908,0.01677767,0.0,0.0,0.0,0.0007582507,0.0,0.0,0.03289867,0.0,0.008426721,0.02700571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8291288,2.363192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02869468,0.0,0.0,9.799479e-05,1.064725,6.388352,3.194176
CEBH,0.0,0.001019469,0.0,0.001034586,0.0,0.001460555,0.002369027,0.0,0.0,0.0,0.001795374,0.0006366265,7.36212e-05,0.0,0.0,0.0,0.0,0.01481203,0.00691429,0.02858191,0.07470668,0.0,0.0006244452,0.003249162,0.03109952,0.0,0.0,0.0,0.0,0.0,0.1002437,0.0,0.0,0.09449548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00300703,2.160195e-05,0.003096321,8.159861e-05,0.07283481,0.0002185928,0.009615825,0.002661318,0.2239424,0.559856,0.3359136
CEBS,0.0,0.008603112,0.0,0.00047187,0.0001182439,0.03137758,0.006873515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006262704,0.02522505,0.00495174,0.0,0.0004061077,0.0,0.003961722,0.0,0.0,0.0,0.0,0.0,0.007500421,0.06647716,0.0,0.030845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001473093,0.0,0.0,3.997372e-06,0.0,0.04145307,0.02588076,0.0,0.3348377,0.8370941,0.5022565
CEPH,0.0,0.05727952,0.00140725,0.00303849,1.478049e-05,0.00584222,0.01872342,0.0,0.0,0.0,0.001795374,0.0004370869,0.0,0.0,0.0,0.0,0.0,0.02717529,0.0,0.0002482568,0.0046288,0.0,0.001873336,0.0134318,0.0,0.0,0.0,0.0,0.0,0.0,0.03968477,0.0,0.07950653,0.03435754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002218846,0.0,0.03677949,0.0,0.0,4.96008e-05,0.04733799,0.118345,0.07100698
CEPS,0.0,0.1316104,0.0,0.009147811,0.01841649,0.01679638,0.00645405,0.0,0.0,0.0,0.0,0.0008646719,0.0,0.0,0.0,0.0,0.0,0.06584781,0.0,0.01673035,0.0,0.0,0.001462861,0.0,0.008319616,0.0,0.0,0.0,0.0,0.0,0.03968477,0.0,0.0,0.07735756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001377021,0.0,0.009708533,3.736681e-06,0.0,0.0,0.0,0.0,0.08833307,0.2208327,0.1324996
DNS,0.0,0.008065418,0.0,1.3818e-05,0.001303146,0.001156273,0.0003574991,0.0,0.0,0.006182883,0.04450857,0.04337422,0.0,0.0,0.0,0.002142,0.01909883,0.06844589,0.004181901,0.05294346,0.05027092,0.002429935,0.0007685479,0.004042112,0.07527272,0.004222449,0.0,0.0,0.0,0.0,0.01142921,0.0955742,0.0,0.1277094,1.510174,0.005588256,0.3853467,0.0,0.03632395,0.07876801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002254472,0.0,0.01085502,6.117723e-05,0.008487208,0.01743771,0.003770305,0.0,0.8199611,2.049903,1.229942
DNH,0.0,5.161867e-05,0.0,0.0,0.0,0.0,0.008665777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349768,0.004035688,0.08579627,0.001894941,0.000712389,0.1442463,0.06593661,0.002785986,0.02779194,0.0170354,0.0,0.0,0.2322522,0.0,0.0,0.1009184,0.0,0.0,0.002058512,0.04641571,0.0,0.02257261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002664376,0.0007210094,0.1205435,7.230037e-05,0.01727278,0.0,0.0,0.0002810321,0.2150841,0.5377103,0.3226262
DRS,0.0,0.0,0.0,0.0,0.0,0.0002434258,0.0,0.0,0.0,0.0,0.0,0.0004940982,0.0,0.0,0.0,0.0,0.0,0.0109597,0.0,0.003561945,0.0448886,0.0,0.0,0.0,0.003763636,0.0,0.0,0.0,0.0,0.0,0.0,0.9600746,0.0,0.03564819,0.03745068,0.005588256,0.3167076,0.0,0.004639136,0.0513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006116537,0.0,0.002753306,1.659779e-05,0.003628624,0.001951567,0.003741849,1.543237e-07,0.3444637,0.8611592,0.5166956
DRH,0.0,0.0008947236,0.00773825,0.0,0.0,0.0003651387,0.0007674313,0.0,0.0,0.0,4.175288e-05,0.004144724,0.0,0.0,0.0,0.0,0.0,0.0,0.0004892237,0.0001187315,0.02820338,0.0,1.310025e-05,0.06595025,0.01980861,0.0,0.0,0.0,0.0,0.0,0.08857641,0.0,0.0,0.0,0.01735167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000563618,0.0003535608,0.09200397,1.529431e-05,0.01819324,0.0,0.0,8.793805e-06,0.1060299,0.2650748,0.1590449
